"2025-04-10","138.197.182.26","Germany","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75\r\nAccept-Encoding: gzip
"2025-04-10","161.35.11.131","United States","TCP","\u0000\u0000\u0000qj\ufffdn0\ufffdk\ufffd\u0003\u0002\u0001\u0005\ufffd\u0003\u0002\u0001\n\ufffd\ufffd^0\\\ufffd\u0007\u0003\u0005\u0000P\ufffd\u0000\u0010\ufffd\u0004\u001b\u0002NM\ufffd\u00170\u0015\ufffd\u0003\u0002\u0001\u0000\ufffd\u000e0\u000c\u001b\u0006krbtgt\u001b\u0002NM\ufffd\u0011\u0018\u000f19700101000000Z\ufffd\u0006\u0002\u0004\u001f\u001e\ufffd٨\u00170\u0015\u0002\u0001\u0012\u0002\u0001\u0011\u0002\u0001\u0010\u0002\u0001\u0017\u0002\u0001\u0001\u0002\u0001\u0003\u0002\u0001\u0002"
"2025-04-10","161.35.11.131","United States","TCP","\u0000\u0000\u0000\ufffd\ufffdSMBr\u0000\u0000\u0000\u0000\u0008\u0001@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0006\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0002PC NETWORK PROGRAM 1.0\u0000\u0002MICROSOFT NETWORKS 1.03\u0000\u0002MICROSOFT NETWORKS 3.0\u0000\u0002LANMAN1.0\u0000\u0002LM1.2X002\u0000\u0002Samba\u0000\u0002NT LANMAN 1.0\u0000\u0002NT LM 0.12\u0000"
"2025-04-10","161.35.11.131","United States","TCP","l\u0000\u000b\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","161.35.11.131","United States","TCP","OPTIONS sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: \u003csip:nm@nm\u003e;tag=root\r\nTo: \u003csip:nm2@nm2\u003e\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: \u003csip:nm@nm\u003e\r\nAccept: application/sdp\r\n\r\n"
"2025-04-10","161.35.105.173","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.109.136","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.98.62","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\ufffd\ufffd\ufffdl\ufffd\ufffd\u003c\ufffd\u0001\u001c\u0011G;k\ufffd`\ufffd\ufffd\ufffdO\ufffdǕ~9\ufffd\ufffdh\ufffd\ufffd7 )fsr\ufffd\u0005\ufffd\ufffd\ufffd\ufffd\ufffd\u0017x\ufffdu?\ufffd\ufffd4\u0007\ufffd0\u001b\ufffd?\u0014\ufffd
"2025-04-10","161.35.98.62","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.109.136","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.98.62","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (compatible; Odin; https://docs.getodin.com/)\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-04-10","161.35.109.136","United States","TCP","\u0016\u0003\u0001\u0001$\u0001\u0000\u0001 \u0003\u0003\ufffd\ufffdY)a\u0013\ufffdZ;\ufffd\ufffd\u0011\ufffd\u0001T\ufffd\u0002\u0017\ufffd\ufffdT\ufffd\ufffd\ufffd\ufffd\ufffdC[Wb\ufffd\ufffd L\t\u0010\ufffd\ufffd\u0000\ufffd\ufffdf(\ufffdkz\u0014\ufffd\tG\ufffd\ufffd^[Ί1֤\ufffd\ufffdU\ufffd\ufffd\ufffd\u0000\u003e\u0013\u0002\u0013\u0003\u0013\u0001\ufffd
"2025-04-10","161.35.98.62","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003XU@L\\\ufffdM\u003c\ufffd3\u0006\u0013\ufffd\ufffd\ufffdd\ufffd\ufffd'\ufffdn\ufffdr:\ufffd\u000cO\ufffd\ufffd\ufffdB\u0018 \ufffd\ufffdo\ufffd\u001f!\u0008oy)h\ufffd\ufffd\ufffd\u001e\ufffdu\ufffd\ufffdѢ\ufffd2\ufffd\ufffd\ufffdDl~x\ufffd\ufffd\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-04-10","161.35.98.62","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.105.173","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.109.136","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.109.136","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.98.62","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\u00166\ufffd\ufffd\u0017੧\u0006\u000b\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffda\ufffdG@\ufffd\ufffd\ufffd\ufffd\ufffd'\u0000\u0000P\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\ufffd$\ufffd#\ufffd\u0008\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd(\ufffd'̨̩̪\u0000k\u0000g\u00009\u00003\u0000\u0016\u0000=\u0000\u003c\u0000\u0004\u0000\u0014\u0000\ufffd\u0000\u0015\ufffd
"2025-04-10","161.35.98.62","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.105.173","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.109.136","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.109.136","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.98.62","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.98.62","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","161.35.98.62","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-04-10","135.237.122.202","United States","TCP","MGLNDD_108.174.54.75_3306\n"
"2025-04-10","81.29.140.28","Russia","TCP"," \u0000\u0000\u0001\u0000\u0008\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","81.29.140.28","Russia","TCP","\u0016\u0003\u0001\u0005\ufffd\u0001\u0000\u0005\ufffd\u0003\u0003SO\ufffdO!\ufffd\ufffd\ufffdx\ufffd\ufffd|7@}j٬.\u0019\ufffd\u000e+\ufffd\ufffd\u000fP\ufffd=\u0011\ufffd\r \ufffd\ufffd\ufffd\ufffd\ufffd=$\u001d\ufffd\ufffd\ufffd+\ufffd\ufffd6S\ufffd\ufffd0\ufffd[\ufffd)\ufffd\ufffd_\ufffd\ufffd9\ufffdN\ufffd\u00002\ufffd+\ufffd/\ufffd
"2025-04-10","81.29.140.28","Russia","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nAccept: */*\r\nAccept-Encoding: identity\r\nUser-Agent: Mozilla/5.0\r\n\r\n"
"2025-04-10","81.29.140.28","Russia","TCP","\u0016\u0003\u0001\u0005\ufffd\u0001\u0000\u0005\ufffd\u0003\u0003\ufffd\ufffdB\"\ufffdu\u001e\\Ǚ*\ufffdYܼ\u0026)qd\ufffd\ufffd\u0018\ufffds\ufffd6\ufffd\ufffdrEj\u0003 b\u0008\ufffd=\ufffdX\u0004\ufffdp\t\u0013 A\ufffd\ufffd\ufffd\ufffd\ufffd=\ufffdZ~\ufffd\ufffd+\ufffdw\ufffdS\ufffd\ufffd\ufffd\u00002\ufffd+\ufffd/\ufffd
"2025-04-10","152.32.141.86","Nigeria","TCP","GET / HTTP/1.1\r\nUser-Agent: curl/7.29.0\r\nHost: 108.174.54.75\r\nAccept: */*\r\n\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\r\n\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0016\u0003\u0003\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003e\ufffd\ufffd\ufffdG\u0011\ufffd\ufffd]\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\u0001\ufffd\ufffd\ufffd\u0005\u0008W@\ufffd\ufffd\ufffd\ufffd\u001d\u001d\ufffd\u0010\r\u0000\u0000*\ufffd
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\u0010\ufffd\u0000;\ufffd`\ufffd\ufffd\ufffdXlF\ufffd9\u003e#'\u001f\ufffd\ufffd\ufffd\u000f\u001f\ufffd\ufffd\ufffd\ufffd7\ufffd\ufffd\ufffd\ufffd E\ufffdRɴX\ufffd\ufffd\u0018_Bk?T|\u0008\ufffdӦ\ufffd\ufffd:\u0015+8\r\r\u001e\ufffd\u003e\ufffd\u0000\u0026\ufffd/\ufffd0\ufffd+\ufffd
"2025-04-10","152.32.141.86","Nigeria","TCP","OPTIONS / HTTP/1.0\r\n\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","OPTIONS / RTSP/1.0\r\n\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\ufffd\u0000\u0000(r\ufffd\u001d\u0013\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0001\ufffd\ufffd\u0000\u0001\ufffd|\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","PRI * HTTP/2.0\r\n\r\nSM\r\n\r\n\u0000\u0000\u0000\u0004\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u001e\u0000\u0006\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0007version\u0004bind\u0000\u0000\u0010\u0000\u0003"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000*(\ufffd\u0001 \u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0001\u0003www\u0005baidu\u0003com\u0000\u0000\u0001\u0000\u0001\u0000\u0000)\u0010\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u000c\u0000\u0000\u0010\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","AMQP\u0000\u0000\t\u0001"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0001\u0001\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","t3 12.1.2\nAS:2048\nHL:19\n\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","HELP\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0016\u0003\u0000\u0000S\u0001\u0000\u0000O\u0003\u0000?G\ufffd\ufffd\ufffd
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=nmap\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0003\u0000\u0000\u0013\u000e\ufffd\u0000\u0000\u0000\u0000\u0000\u0001\u0000\u0008\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0000\u0000qj\ufffdn0\ufffdk\ufffd\u0003\u0002\u0001\u0005\ufffd\u0003\u0002\u0001\n\ufffd\ufffd^0\\\ufffd\u0007\u0003\u0005\u0000P\ufffd\u0000\u0010\ufffd\u0004\u001b\u0002NM\ufffd\u00170\u0015\ufffd\u0003\u0002\u0001\u0000\ufffd\u000e0\u000c\u001b\u0006krbtgt\u001b\u0002NM\ufffd\u0011\u0018\u000f19700101000000Z\ufffd\u0006\u0002\u0004\u001f\u001e\ufffd٨\u00170\u0015\u0002\u0001\u0012\u0002\u0001\u0011\u0002\u0001\u0010\u0002\u0001\u0017\u0002\u0001\u0001\u0002\u0001\u0003\u0002\u0001\u0002"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0000\u0000\ufffd\ufffdSMB@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u00001234567890123456$\u0000\u0005\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u00001234567890123456p\u0000\u0000\u0000\u0002\u0000\u0000\u0000\u0002\u0002\u0010\u0002\u0000\u0003\u0002\u0003\u0011\u0003\u0000\u0000\u0002\u0000\u0006\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0002\u0000\u0001\u0000\u0000\u0000\u0001\u0000
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0000\u0000\ufffd\ufffdSMBr\u0000\u0000\u0000\u0000\u0008\u0001@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0006\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0002PC NETWORK PROGRAM 1.0\u0000\u0002MICROSOFT NETWORKS 1.03\u0000\u0002MICROSOFT NETWORKS 3.0\u0000\u0002LANMAN1.0\u0000\u0002LM1.2X002\u0000\u0002Samba\u0000\u0002NT LANMAN 1.0\u0000\u0002NT LM 0.12\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","l\u0000\u000b\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0\r\n\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0001default\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\ufffd\ufffd\ufffd\ufffdversion\u0000\u0000\u0000\u0000\u0000f\u0000\u0000\u0000GH\ufffd\u0013\u0011\u0001\u0000\r\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0006\t=Z\u0000\u0000\u0000\u0000\t\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd\ufffdYKI\u000b \ufffd\r\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000ģA\ufffd\u0004\ufffd\ufffd\u0010/Satoshi:0.15.1/\u0000\u0000\u0000\u0000\u0001"
"2025-04-10","152.32.141.86","Nigeria","TCP","0\ufffd\u0000\u0000\u0000-\u0002\u0001\u0007c\ufffd\u0000\u0000\u0000$\u0004\u0000\n\u0001\u0000\n\u0001\u0000\u0002\u0001\u0000\u0002\u0001d\u0001\u0001\u0000\ufffd\u000bobjectClass0\ufffd\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","0\u000c\u0002\u0001\u0001`\u0007\u0002\u0001\u0002\u0004\u0000\ufffd\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","OPTIONS sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: \u003csip:nm@nm\u003e;tag=root\r\nTo: \u003csip:nm2@nm2\u003e\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: \u003csip:nm@nm\u003e\r\nAccept: application/sdp\r\n\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","INVITES sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: \u003csip:nm@nm\u003e;tag=root\r\nTo: \u003csip:nm2@nm2\u003e\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: \u003csip:nm@nm\u003e\r\nAccept: application/sdp\r\n\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","TNMP\u0004\u0000\u0000\u0000TNME\u0000\u0000\u0004\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0003\u0000\u0000\u000b\u0006\ufffd\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0006\ufffd\ufffdJoinåNodes\u0001\ufffdUserStateLen\u0000\ufffd\ufffdAddr\ufffd\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd\ufffd\ufffd\ufffd8\u0001\ufffdIncarnation\u0001\ufffdMeta\ufffd\ufffdName\ufffdDESKTOP-NR8TTVR\ufffdPort\ufffd\u001f\n\ufffdState\u0000\ufffdVsn\ufffd\u0001\u0005\u0002\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0012\u0002index\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u003c?xml version='1.0'?\u003e\u003cstream:stream xmlns:stream='http://etherx.jabber.org/streams' xmlns='jabber:client' xml:lang='ru-RU' to='.' version='1.0'\u003e"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\ufffd\u0000\u0001\u001a+\u003cM\u0000\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0001\ufffd\ufffd\u0000\u0001none\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000ppap\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\ufffdx\u0017\u0001#\u0000\u0000\u0000.\ufffd=\u0008\ufffd\ufffd\ufffd$\u0000\ufffd'\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\u0017\ufffd\ufffdW\u001dE\u0005$e\ufffdV\ufffd\u003e\\\ufffd"
"2025-04-10","152.32.141.86","Nigeria","TCP","#\u0000\u0000\u0000\u0012!\u0010\u0003\u001a\u0006:62710*\rfd135ge@\u0026yt_02\u0006123456"
"2025-04-10","152.32.141.86","Nigeria","TCP","\ufffd\u0001\u0000\u0001\u0000\u0000\u0000\u0014anonymous_command_on\u0000\u0000\u0000\u0000\u0008\u0000\u0001\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0000\u0000\n\u0000\u0012\u0000\u0000\ufffd\ufffd\ufffd\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","{\"id\":1
"2025-04-10","152.32.141.86","Nigeria","TCP","EXAMPLE.COM\r\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\ufffd\u0005\u0000`\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0005\u0002\u0000\u0001\u0000\u0000\ufffd\ufffd"
"2025-04-10","152.32.141.86","Nigeria","TCP","\ufffd\ufffd\ufffd\ufffd\u0000\u0000]\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000I\u0000\u0000\u0000223.75.123.71\tIP\tUSER\tLOGON\tQWRtaW4=\tQWRtaW4=\t\t65536\tUTF-8\t805306367\t1\n\n\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0000\u0000\u0019a\n\u00074.6.2.3\u0010\u0006\"\t8798306680\u0001"
"2025-04-10","152.32.141.86","Nigeria","TCP","2W\u0000\u0000\u0000\u00012C\u0000\u0000\u0000wx^\u0000j\u0000\ufffd\ufffd2J\u0000\u0000\u0000\u0001\u0000\u0000\u0000`{\"@timestamp\":\"2023-11-10T16:31:19.3549634+08:00\"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0000\u0000m\u0000\u0000\u0000i{\"code\":105
"2025-04-10","152.32.141.86","Nigeria","TCP","HELF;\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u001b\u0000\u0000\u0000opc.tcp://85.214.126.3:4840"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0001\u0000\u0001\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP",")\u0000\u0000\u0000\u0000\u0000\u0000\u0000{\"Type\":\"Auth\"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0000\u0000\u0000\u0006\u0000\u0000\u00000.26.0\u0007\u0000\u0000\u00000.26.10202cb962ac59075b964b07152d234b70"
"2025-04-10","152.32.141.86","Nigeria","TCP","\ufffdt\u0000\u0000\u0000\u0005\u0000+\u000e\u0001\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","\u0003\u0000\u0000\u0016\u0011\ufffd\u0000\u0000\u0000\u0014\u0000\ufffd\u0002\u0001\u0000\ufffd\u0002\u0001\u0002\ufffd\u0001\n"
"2025-04-10","152.32.141.86","Nigeria","TCP","DmdT\u0000\u0000\u0000\u0017\u0000\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0011\u0011\u0000\ufffd\u0001\ufffd\u0013"
"2025-04-10","152.32.141.86","Nigeria","TCP",":\u0000\u0000\u0000/\u0000\u0000\u0000\u0002\u0000\u0000@\u0002\u000f\u0000\u0001\u0000=\u0005\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000/\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u001f\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-10","152.32.141.86","Nigeria","TCP","JRMI\u0000\u0002K"
