"2025-07-01","148.113.210.254","Canada","TCP","SSH-2.0-Go\r\n"
"2025-07-01","68.183.22.112","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Chromium\";v=\"137\"
"2025-07-01","68.183.22.112","United States","TCP","GET /favicon.ico HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Chromium\";v=\"137\"
"2025-07-01","146.190.44.161","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Google Chrome\";v=\"137\"
"2025-07-01","146.190.44.161","United States","TCP","GET /favicon.ico HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Google Chrome\";v=\"137\"
"2025-07-01","45.131.155.254","Germany","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003aps\ufffd\u0006\ufffd\ufffdJ\ufffdP\ufffd\ufffd\u0015\ufffd\ufffd_\ufffd\ufffd\ufffd\ufffd\ufffdJ/\ufffd\ufffd\ufffdx\ufffd \ufffd\u0001\ufffd \ufffd\ufffd\ufffdW\ufffd\ufffdF\u001a\ufffdKD\ufffd\ufffd7\ufffd\ufffdR\ufffdC\"\u00170҃\ufffds\ufffd)\u0007R\ufffdz\u0000\u001a\ufffd+\ufffd/\ufffd
"2025-07-01","45.131.155.254","Germany","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003G!\ufffd\ufffd\u00137\ufffd\ufffd\ufffd}.v\u0002g\ufffd\ufffdM\ufffd\ufffd4\ufffdHR\ufffd\ufffd;\ufffd\ufffdb\ufffdF g\ufffdN\ufffdB\ufffd\ufffdޖ\ufffd*\ufffd\u0008\u001b\u001fJ\ufffdFD\ufffd$\ufffd\ufffdͬ\ufffd\ufffd^iҩ\ufffd\u0000\u001a\ufffd+\ufffd/\ufffd
"2025-07-01","206.189.193.136","United States","TCP","\r\n\r\n"
"2025-07-01","206.189.193.136","United States","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-07-01","206.189.193.136","United States","TCP","OPTIONS / HTTP/1.0\r\n\r\n"
"2025-07-01","206.189.193.136","United States","TCP","OPTIONS / RTSP/1.0\r\n\r\n"
"2025-07-01","206.189.193.136","United States","TCP","\ufffd\u0000\u0000(r\ufffd\u001d\u0013\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0001\ufffd\ufffd\u0000\u0001\ufffd|\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-07-01","206.189.193.136","United States","TCP","\u0000\u001e\u0000\u0006\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0007version\u0004bind\u0000\u0000\u0010\u0000\u0003"
"2025-07-01","206.189.193.136","United States","TCP","HELP\r\n"
"2025-07-01","206.189.193.136","United States","TCP","\u0016\u0003\u0000\u0000S\u0001\u0000\u0000O\u0003\u0000?G\ufffd\ufffd\ufffd
"2025-07-01","206.189.193.136","United States","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-07-01","206.189.193.136","United States","TCP","\u0000\u0000\u0000qj\ufffdn0\ufffdk\ufffd\u0003\u0002\u0001\u0005\ufffd\u0003\u0002\u0001\n\ufffd\ufffd^0\\\ufffd\u0007\u0003\u0005\u0000P\ufffd\u0000\u0010\ufffd\u0004\u001b\u0002NM\ufffd\u00170\u0015\ufffd\u0003\u0002\u0001\u0000\ufffd\u000e0\u000c\u001b\u0006krbtgt\u001b\u0002NM\ufffd\u0011\u0018\u000f19700101000000Z\ufffd\u0006\u0002\u0004\u001f\u001e\ufffd٨\u00170\u0015\u0002\u0001\u0012\u0002\u0001\u0011\u0002\u0001\u0010\u0002\u0001\u0017\u0002\u0001\u0001\u0002\u0001\u0003\u0002\u0001\u0002"
"2025-07-01","206.189.193.136","United States","TCP","\u0000\u0000\u0000\ufffd\ufffdSMBr\u0000\u0000\u0000\u0000\u0008\u0001@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0006\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0002PC NETWORK PROGRAM 1.0\u0000\u0002MICROSOFT NETWORKS 1.03\u0000\u0002MICROSOFT NETWORKS 3.0\u0000\u0002LANMAN1.0\u0000\u0002LM1.2X002\u0000\u0002Samba\u0000\u0002NT LANMAN 1.0\u0000\u0002NT LM 0.12\u0000"
"2025-07-01","206.189.193.136","United States","TCP","l\u0000\u000b\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-07-01","206.189.193.136","United States","TCP","OPTIONS sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: \u003csip:nm@nm\u003e;tag=root\r\nTo: \u003csip:nm2@nm2\u003e\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: \u003csip:nm@nm\u003e\r\nAccept: application/sdp\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","206.189.181.93","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (compatible; Odin; https://docs.getodin.com/)\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\ufffd\ufffd\ufffd\u0015pۓ\ufffd\ufffd\ufffd\ufffd$q\ufffd\ufffd\ufffd^\ufffd3\u0008\ufffdy\ufffdw\ufffd\ufffd\u0004\ufffd\ufffdf\ufffd 2\ufffd)\ufffd\n\ufffd\u0014\ufffd(A\ufffdQN\ufffdS\u0003\u001aԹ\ufffds\ufffd\u0026\ufffd\ufffdHb\ufffd \ufffd\ufffd\ufffd\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-07-01","165.227.203.4","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.22.12.231","United States","TCP","\u0016\u0003\u0001\u0001$\u0001\u0000\u0001 \u0003\u0003\u003e\ufffdﭽ\ufffd37\ufffdEֹ\u001c\u0008}\ufffd\u000c7\ufffd\ufffd\ufffd\ufffd\ufffd\ufffdB\ufffd\ufffd\ufffdFv\ufffd\ufffd =0\ufffdO\u0016Ɍw\ufffd\u001d)\ufffd;\ufffd\u000c\ufffd1\ufffd\ufffdiX\ufffd/Zq\ufffdw\ufffdsI\u0000\u003e\u0013\u0002\u0013\u0003\u0013\u0001\ufffd
"2025-07-01","165.227.203.4","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\u0012L\ufffdZ\ufffd\ufffdwc\ufffd\ufffd@sC\ufffdH\ufffd\ufffd\u0010\ufffd¥\u001c\ufffd\ufffd\u0006\ufffd3T~*\ufffd\u0000\u0000P\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\ufffd$\ufffd#\ufffd\u0008\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd(\ufffd'̨̩̪\u0000k\u0000g\u00009\u00003\u0000\u0016\u0000=\u0000\u003c\u0000\u0004\u0000\u0014\u0000\ufffd\u0000\u0015\ufffd
"2025-07-01","206.189.181.93","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003~\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\u0010.8ƂW13\u0011\ufffd\ufffd$wEtg\ufffd\ufffd\ufffd)G\ufffd7\u0004\ufffd )^\ufffd\ufffd\ufffdY\ufffd\ufffdj\ufffdS\ufffd\ufffd\ufffd8BJ\ufffd\u0019'҅\ufffdԤ1K\ufffd\ufffd:\ufffd\u0011\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-07-01","165.227.203.4","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","206.189.181.93","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /v2/_catalog HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /cgi-bin/authLogin.cgi HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","165.227.203.4","United States","TCP","GET /solr/admin/cores?action=STATUS\u0026wt=json HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-07-01","52.224.241.44","United States","TCP","MGLNDD_108.174.54.75_3306\n"
"2025-07-01","89.248.165.155","The Netherlands","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003i\ufffd\ufffd\ufffd\u0018|S.\ufffd\n\ufffd\ufffd\ufffd\ufffd\ufffdj\u0002\ufffdT\ufffd+\ufffdG\ufffd\ufffd_\u0014(R\ufffdϡ \ufffdB\ufffd[\ufffd3U E}\ufffd\u000c\ufffd\ufffds\ufffd\t\ufffd\ufffdnV\u0014?z\u0026\u0000j\ufffdǌxL\u0000\u0026\ufffd/\ufffd0\ufffd+\ufffd
"2025-07-01","89.248.165.155","The Netherlands","TCP","\u0003\u0000\u0000\u0013\u000e\ufffd\u0000\u0000\u0000\u0000\u0000\u0001\u0000\u0008\u0000\u0002\u0000\u0000\u0000"
"2025-07-01","20.163.2.35","United States","TCP","\r\n"
