"2026-06-14","216.131.86.205","United States","TCP","BaA]\ufffd\\\ufffd{
"2026-06-14","3.145.45.215","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003X\u0016\ufffdQC=\u000b@\ufffd\ufffd\u001dnq_%\ufffdG\u0010Q\ufffdn\bTq\u003c3B\ufffd^\ufffd\ufffd ޏ\ufffdΪ\ufffd\ufffd\u0010\ufffd[\ufffd\u0005E\ufffd\u0002\ufffd\ufffd]݉\ufffd\ufffdQt6\ufffdn|\u0002\u0002\u000f\ufffd\u0000\u0026̨̩\ufffd/\ufffd0\ufffd+\ufffd
"2026-06-14","194.165.16.161","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","194.165.16.161","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","13.89.124.214","United States","TCP","\r\n"
"2026-06-14","88.214.25.121","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.121","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.156","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.156","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","98.90.43.197","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003g`\ufffd\ufffd\n\ufffd\ufffd)Ȝ\ufffd\ufffdR\u0001\ufffdˎ[\ufffdo\ufffd\ufffdQ\ufffd\ufffdCO
"2026-06-14","194.165.16.167","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","194.165.16.167","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.152","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.152","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","216.180.246.181","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\u001a\t\ufffd\ufffd\ufffd_\ufffd\ufffd\ufffd\ufffdc\ufffd\ufffdWRQD\ufffdd\ufffdC\ufffdeI\ufffd\ufffd.\ufffd\ufffd\ufffdL \ufffdPWaN$\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\u0005ECq\ufffdt\ufffd\r\ufffdY\ufffd\ufffd116\\oD\ufffd\u0000\u0026̨̩\ufffd/\ufffd0\ufffd+\ufffd
"2026-06-14","216.180.246.181","United States","TCP","GET /web/ HTTP/1.1\r\nHost: 107.173.168.135:3306\r\nUser-Agent: Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2026-06-14","216.180.246.181","United States","TCP","GET / HTTP/1.0\r\nHost: probe\r\n\r\n"
"2026-06-14","138.197.84.120","United States","TCP","GET / HTTP/1.1\r\nHost: 107.173.168.135\r\nConnection: keep-alive\r\nsec-ch-ua: \"Google Chrome\";v=\"142\"
"2026-06-14","138.197.84.120","United States","TCP","GET /favicon.ico HTTP/1.1\r\nHost: 107.173.168.135\r\nConnection: keep-alive\r\nsec-ch-ua: \"Google Chrome\";v=\"142\"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","194.165.16.164","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","194.165.16.164","Monaco","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.125","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.125","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","101.201.38.226","China","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003I\u0006\ufffd\ufffd\ufffd\ufffdi\ufffdY\ufffd\ufffd\ufffde-\ufffdUd]\u000e\ufffd\ufffdb8\ufffdg\ufffd\ufffd9dZ8f g\ufffd\ufffdi\ufffd\ufffd\ufffd˰\ufffd\u0019Nֽ\ufffdg|p\ufffd\ufffd\u003cZ\ufffd\ufffdT\ufffd\ufffd\ufffd8'O;\u0000\u0026\ufffd+\ufffd/\ufffd
"2026-06-14","101.201.38.226","China","TCP","GET / HTTP/1.1\r\nHost: 107.173.168.135:3306\r\nUser-Agent: curl/7.64.1\r\nAccept: */*\r\n\r\n"
"2026-06-14","101.201.38.226","China","TCP","\u0003\u0000\u0000\u0013\u000e\ufffd\u0000\u0000\u0000\u0000\u0000\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","101.201.38.226","China","TCP","\u0000\u0000\u0000@\u0002\u0004\ufffd\ufffdB\u000b\u0000\u0000\u0000\u0000sapdp00\u0000\u0000\u00004103\u0000\u0000\u0000\u0000\u0000\u0006sapnw-pasapdp00         \u0006\ufffd\ufffd\ufffd\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-06-14","101.201.38.226","China","TCP","\u0000\u0000\u0000@\u0002\t\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0002\t\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-06-14","101.201.38.226","China","TCP","\u0000\u0000\u0000@\u0002\u0003\ufffd\u0010\u0000w\u0000\u0000\u0000\u0000startrfc\u0000\u00001100\u0000\u0000\u0000\u0000\u0000\u0000default_startrfc.*\u0006\ufffd\ufffd\ufffd\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-06-14","88.214.25.123","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.123","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.124","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.121","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.121","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","52.165.80.115","United States","TCP","MGLNDD_107.173.168.135_3306\n"
"2026-06-14","88.214.25.123","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","88.214.25.123","Germany","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-06-14","45.227.254.154","Panama","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Test\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
